epoch,loss,accuracy
1,0.6584456396102906,0.699999988079071
2,0.6285484933853149,0.7599999904632568
3,0.5941688275337219,0.7799999713897705
4,0.5516710686683655,0.8199999928474426
5,0.5048168206214905,0.8600000143051147
6,0.46093612909317017,0.8799999952316284
7,0.41946863889694214,0.8799999952316284
8,0.3826739311218262,0.9200000166893005
9,0.3515357756614685,0.8799999952316284
10,0.32537273287773133,0.9200000166893005
11,0.3098650050163269,0.8799999952316284
12,0.28643775343894956,0.8799999952316284
13,0.2716169059276581,0.8799999952316284
14,0.26377619087696075,0.9200000166893005
15,0.24611692547798156,0.8799999952316284
16,0.24183404445648193,0.9200000166893005
17,0.22559318006038664,0.8799999952316284
18,0.21508524119853972,0.9200000166893005
19,0.20801638424396515,0.8799999952316284
20,0.20126931130886078,0.8999999761581421
21,0.1935074198246002,0.8999999761581421
22,0.1882665342092514,0.8999999761581421
23,0.18642168521881103,0.9200000166893005
24,0.1777797371149063,0.8999999761581421
25,0.17175295501947402,0.8999999761581421
26,0.16759932518005372,0.8999999761581421
27,0.1653641152381897,0.8999999761581421
28,0.16030679732561112,0.8999999761581421
29,0.1565679907798767,0.8999999761581421
30,0.15696264147758485,0.8799999952316284
