epoch,loss,accuracy
1,0.7007327508926392,0.46000000834465027
2,0.6553538990020752,0.5199999809265137
3,0.5320768487453461,0.9399999976158142
4,0.31159836530685425,0.8999999761581421
5,0.147446396201849,0.9399999976158142
6,0.07336093649268151,0.8799999952316284
7,0.09226160346996039,0.9599999785423279
8,0.055722372066229583,0.9399999976158142
9,0.04720827287063003,0.9800000190734863
10,0.03886186208575964,0.9599999785423279
11,0.028765098380390555,0.9399999976158142
12,0.05755281904712319,0.9599999785423279
13,0.029751986879855395,0.9599999785423279
14,0.023322970210574567,0.9599999785423279
15,0.020784484250470997,0.9800000190734863
16,0.04049197201617062,0.9599999785423279
17,0.023185693654231728,0.9599999785423279
18,0.014667924111708999,0.9800000190734863
19,0.012430896230507643,0.9599999785423279
20,0.006751651247031987,0.9800000190734863
21,0.004884046269580722,0.9800000190734863
22,0.0033805561531335114,0.9800000190734863
23,0.003744167825207114,0.9800000190734863
24,0.0028481611766619608,0.9800000190734863
25,0.00255290798493661,0.9800000190734863
26,0.002306764959357679,0.9800000190734863
27,0.002185325985774398,0.9800000190734863
28,0.0019872735848184674,0.9800000190734863
29,0.001906798522977624,0.9800000190734863
30,0.0020455188036430628,0.9800000190734863
